Name,ram,processor,front_camera,rear_camera_1,rear_camera_2,rear_camera_3,rear_camera_4,rear_camera_Specific,battery_capacity,os,comp_os,resolution,height,width,depth,weight,refresh rate,screen size (inch),int_storage,call func,step_count,calorie count,heart Monitor,headphones,fingerprint_sensors,Price
POCO F1,6,Qualcomm Snapdragon 845,20,20,0,0,0,None,4000,ANDROID 8.1 OREO,Android,2425680,155.5,75.3,8.8,180,60,6.18,6,Yes,No,No,No,3.5,Yes,11899
Vivo S1,4,MEDIATEK HELIO A22 (MT6761),32,32,0,0,0,None,45000,ANDROID 9 PIE,Android,2527200,156.2,75.2,8.6,179,60,6.38,6,Yes,No,No,No,3.5,Yes,14990
Realme Narzo 50 5G,4,MEDIATEK DIMENSITY 810,16,28,2,2,0,None,5000,ANDROID 12,Android,2592000,164.2,75.8,9,182,120,6.52,64,Yes,No,No,No,3.5,Yes,14499
Xiaomi Redmi 8,2,QUALCOMM SNAPDRAGON 439,8,8,0,0,0,None,5000,ANDROID 9 PIE,Android,1094400,156.3,75.4,9.4,190,60,6.22,32,Yes,No,No,No,3.5,Yes,13999
Realme C35,4,Unisoc T612,16,8,0,0,0,None,5000,ANDROID 11,Android,2600640,164.4,75.6,8.1,189,120,6.6,64,Yes,No,No,No,3.5,Yes,14999
Vivo Y22,4,QUALCOMM SNAPDRAGON 460,8,13,2,0,0,None,5000,ANDROID 11,Android,1152000,165.2,75.7,8.4,192.3,90,6.51,4,Yes,No,No,No,3.5,Yes,14499
Oppo A57 4G,4,MediaTek Helio G35,16,8,0,0,0,None,5000,ANDROID 12,Android,2592000,164.3,75.6,8.5,187,90,6.56,64,Yes,No,No,No,3.5,Yes,13999
Xiaomi Redmi Note 9,3,MediaTek Helio G85,13,13,0,0,0,None,5020,ANDROID 10,Android,2527200,162.3,77.2,8.95,199,60,6.53,32,Yes,No,No,No,3.5,Yes,13990
Xiaomi Redmi Note 10,4,MEDIATEK HELIO G36,13,48,2,8,0,None,5000,ANDROID 11,Android,2592000,160.46,74.5,8.29,178.8,90,6.43,64,Yes,No,No,No,3.5,Yes,13999
Xiaomi Redmi 9,4,MediaTek Helio G35,8,5,0,0,0,None,5000,ANDROID 10,Android,1152000,164.9,77.07,9,196,60,6.53,32,Yes,No,No,No,3.5,Yes,10290
Samsung Galaxy On Nxt  ,3,MediaTek Helio G35,8,13,0,0,0,None,3300,Android 6.0,Android,2073600,151.7,75,8,167,60,5.5,32,Yes,Yes,Yes,No,3.5,Yes,4999
