Name,ram,processor,front_camera,rear_camera_1,rear_camera_2,rear_camera_3,rear_camera_4,rear_camera_Specific,battery_capacity,os,comp_os,resolution,height,width,depth,weight,refresh rate,screen size (inch),int_storage,call func,step_count,calorie count,heart Monitor,headphones,fingerprint_sensors,Price
Poco M5,4,Mediatek MT8781 Helio G99,8,50,2,2,0,None,5000,Android 12,Android,2592000,63.99,76.09,8.9,201,60,6.58,64,Yes,No,No,No,3.5,yes,8999
Vivo Y20A,3,Qualcomm Snapdragon 439,8,13,2,2,0,None,5000,Android 11,Android,1152000,164.41,76.32,8.41,192,120,6.51,64,Yes,No,No,No,3.5,Yes,12990
Lava Blaze 5G,4,MediaTek Dimensity 700,8,50,2,0.3,0,None,5000,Android 12,Android,1152000,165.3,76.4,8.9,207,90,6.51,128,Yes,No,No,No,3.5,Yes,10999
Realme 9i 5G,4,MediaTek Dimensity 810,8,50,0,0,0,None,5000,Android 12,Android,2592000,164.4,75.1,8.1,187,90,6.6,64,Yes,No,No,No,3.5,Yes,13499
Realme 9i,4,Qualcomm Snapdragon 680,16,50,2,2,0,None,5000,Android 11,Android,2592000,164.4,75.7,8.44,190,90,6.6,64,Yes,No,No,No,3.5,Yes,14999
Realme C30,2,Unisoc T612,5,8,0,0,0,None,5000,Android 11 (Go edition),Android,1152000,164.1,75.6,8.5,182,60,6.5,32,Yes,No,No,No,3.5,yes,5999
Motorola Moto G52,4,Qualcomm Snapdragon 680,16,50,8,2,0,None,5000,Android 12,Android,2592000,160.98,74.46,7.99,169,90,6.6,64,Yes,No,No,No,3.5,Yes,11249
Realme C55,4,MediaTek Helio G88,8,64,2,0,0,None,5000,Android 13,Android,2592000,165.6,75.9,7.9,189.5,90,6.72,64,Yes,No,No,No,3.5,Yes,10999
Poco M4 5G,4,MediaTek Dimensity 700,8,50,2,0,0,None,5000,Android 12,Android,2600640,163.99,76.09,8.9,200,90,6.58,64,Yes,No,No,No,3.5,Yes,11999
Realme 8,4,MediaTek Helio G95,16,64,8,2,2,None,5000,Android 11,Android,2592000,160.6,73.9,7.99,177,90,6.4,64,Yes,No,No,No,0,yes,15999
Realme C33,3,Unisoc T612,5,50,0.3,0,0,None,5000,Android 12,Android,1152000,164.2,75.7,8.3,187,60,6.5,32,Yes,No,No,No,3.5,Yes,8999
Realme Narzo 50 5G,4,MediaTek Dimensity 810,8,48,2,0,0,None,5000,Android 12,Android,2600640,163.8,75.1,8.1,190,90,6.6,64,Yes,No,No,No,3.5,Yes,14999
Poco X3,6,Qualcomm Snapdragon 732G,20,64,13,2,2,None,6000,Android 10,Android,2527200,165.3,76.8,9.4,215,120,6.67,64,Yes,No,No,No,3.5,Yes,13999
Samsung Galaxy M04,4,MediaTek Helio P35 (MT6765),5,13,2,0,0,None,5000,Android 12,Android,-,164.2,75.9,9.1,188,90,6.5,64,Yes,No,No,No,3.5,no,8499
Oppo A17,4,MediaTek Helio P35 (MT6765),5,50,2,0,0,None,5000,Android 12,Android,1160640,164.2,75.6,8.3,189,60,6.56,64,Yes,No,No,No,3.5,Yes,12499
Xiaomi Redmi 9 Prime,4,MediaTek Helio G80,8,13,8,5,2,None,5020,Android 10,Android,2527200,163.32,77.01,9.1,198,60,6.53,64,Yes,No,No,No,3.5,Yes,10499
Poco C50,-,Mediatek MT6761 Helio A22,5,8,0,0,0,None,5000,Android 12 Go Edition,Android,1120000,76.45,164.9,9.09,192,120,6.52,32,Yes,No,No,No,3.5,Yes,5649
Realme Narzo N53,4,Unisoc T612,8,50,0,0,0,None,5000,Android 13,Android,-,167,76.67,7.49,182,90,6.74,64,Yes,No,No,No,3.5,Yes,8999
Infinix Smart 7,4,Spreadtrum SC9863A,5,13,0,0,0,None,6000,Android 12,Android,1160640,164.2,75.63,9.37,207,60,6.6,64,Yes,No,No,No,3.5,Yes,7299
Tecno Spark Go (2023),4,MediaTek Helio A22 (MT6761),5,13,0,0,0,None,5000,Android 12,Android,-,163.86,75.51,8.9,199,60,6.56,64,Yes,No,No,No,3.5,Yes,6500
Poco C51,4,MediaTek Helio G36,5,8,0,0,0,None,5000,Android 13 Go Edition,Android,1152000,164.9,76.75,9.09,192,60,6.52,64,Yes,No,No,No,3.5,Yes,6999
Samsung Galaxy F04,4,MediaTek Helio P35 (MT6765),5,12,2,0,0,None,5000,Android 12,Android,1152000,75.9,164.2,9.1,188,60,6.5,64,Yes,No,No,No,3.5,No,7299
Oppo A54,4,MediaTek Helio P35 (MT6765),16,13,2,2,0,None,5000,Android 10,Android,1152000,163.6,75.7,8.4,192,90,6.51,64,Yes,No,No,No,-,yes,11990
Oppo A17k,3,MediaTek Helio G35,5,8,0,0,0,None,5000,Android 12,Android,1160640,164,75,8.3,189,60,6.56,64,Yes,No,No,No,3.5,Yes,10499
Motorola Moto G40 Fusion,4,Qualcomm Snapdragon 732G,16,64,8,2,0,None,6000,Android 11,Android,2656800,169.6,75.9,9.8,225,120,6.8,64,Yes,No,No,No,3.5,Yes,12999
Xiaomi Redmi Note 9 4G,4,Qualcomm Snapdragon 662,8,48,8,2,0,None,6000,Android 10,Android,2527200,162.3,77.2,9.6,198,120,6.53,128,Yes,No,No,No,3.5,Yes,12790
Oppo A53 2020,4,Qualcomm Snapdragon 460,16,13,2,2,0,None,5000,Android 10,Android,1152000,169.3,75.1,8.6,186,90,6.5,64,Yes,No,No,No,3.5,Yes,11770
Vivo Y21,4,MediaTek Helio P35 (MT6765),8,13,2,0,0,None,5000,Android 11,Android,1152000,164.26,76.08,8,182,90,6.5,128,Yes,No,No,No,-,Yes,12849
Samsung Galaxy F22,4,MediaTek Helio G80,13,48,8,2,2,None,6000,Android 11,Android,1152000,159.9,74,9.3,203,90,6.4,64,Yes,No,No,No,-,Yes,11499
Poco M2 Pro,4,Qualcomm Snapdragon 720G,16,48,8,5,2,None,5020,Android 10,Android,2592000,165.75,76.68,8.8,209,120,6.67,64,Yes,No,No,No,3.5,Yes,10999
Moto E13,2,Unisoc T606,5,13,0,0,0,None,5000,Android 13 Go Edition,Android,1152000,164.19,74.95,8.47,179.5,60,6.5,64,Yes,No,No,No,3.5,yes,6799
Tecno Pova 4,8,MediaTek Helio G99,8,50,0,0,0,None,6000,Android 12,Android,-,170.6,77.5,8.7,213,90,6.95,128,Yes,No,No,No,3.5,Yes,11999
Moto G32,4,Qualcomm Snapdragon 680,16,50,8,2,0,None,5000,Android 12,Android,2592000,161.78,73.84,8.49,184,90,6.5,128,Yes,No,No,No,3.5,Yes,10999
Lava Blaze 2,6,Unisoc T616,8,13,2,0,0,None,5000,Android 12,Android,1152000,164.96,76.1,8.6,203,90,6.5,128,Yes,No,No,No,3.5,Yes,8999
